# x y z r clumpId
0.097449 0.096395 0.173910 0.007751 0
0.100454 0.100905 0.173203 0.006693 0
0.097327 0.101020 0.178498 0.007711 0
0.280893 0.103094 0.185330 0.010512 1
0.281981 0.098403 0.186820 0.010843 1
0.278366 0.095927 0.186232 0.010603 1
0.460362 0.104731 0.169531 0.012427 2
0.463294 0.101185 0.174362 0.012496 2
0.462046 0.095458 0.168024 0.011710 2
0.638801 0.099534 0.069299 0.008017 3
0.638553 0.101702 0.067977 0.009020 3
0.816634 0.098795 0.069176 0.011549 4
0.820569 0.101846 0.067709 0.011887 4
0.999012 0.095662 0.099941 0.007513 5
1.002179 0.097126 0.095802 0.008035 5
1.001429 0.096429 0.092206 0.007805 5
1.183978 0.098994 0.154989 0.013223 6
1.180095 0.095909 0.153267 0.010873 6
1.181274 0.102921 0.157017 0.010751 6
1.364711 0.103608 0.121439 0.014137 7
1.361817 0.100370 0.123992 0.013898 7
1.356116 0.099348 0.125861 0.014835 7
1.540077 0.096064 0.226424 0.009532 8
1.540077 0.096989 0.223910 0.008193 8
1.720989 0.099886 0.236819 0.012615 9
1.724853 0.103068 0.238094 0.012262 9
0.103160 0.284780 0.163798 0.007056 10
0.101598 0.284468 0.160123 0.007743 10
0.101066 0.284644 0.167761 0.008133 10
0.284951 0.281499 0.187355 0.011737 11
0.276210 0.277247 0.186354 0.011921 11
0.277301 0.277202 0.183683 0.012032 11
0.455709 0.277380 0.097478 0.012085 12
0.456323 0.284355 0.096499 0.012826 12
0.462846 0.283075 0.092692 0.011748 12
0.643638 0.275542 0.137745 0.010189 13
0.635606 0.282282 0.139216 0.009012 13
0.636916 0.280363 0.132612 0.009174 13
0.819431 0.283613 0.143029 0.011440 14
0.824993 0.283360 0.147216 0.013913 14
0.999814 0.283647 0.223764 0.007633 15
0.995022 0.278904 0.224004 0.008770 15
0.997852 0.281966 0.222044 0.008767 15
1.177967 0.284687 0.183166 0.010362 16
1.182480 0.275572 0.183216 0.010273 16
1.363513 0.275685 0.216224 0.008850 17
1.359038 0.284416 0.221241 0.008335 17
1.544347 0.277043 0.060110 0.007268 18
1.538958 0.281717 0.055948 0.007401 18
1.542519 0.275725 0.057531 0.008571 18
1.720059 0.276325 0.247709 0.006927 19
1.717443 0.277850 0.248601 0.007735 19
0.101679 0.460546 0.114821 0.012218 20
0.103781 0.457645 0.114401 0.014120 20
0.282176 0.457036 0.082432 0.008504 21
0.279885 0.464053 0.084551 0.008162 21
0.458336 0.456308 0.139513 0.008271 22
0.459418 0.462057 0.135324 0.008172 22
0.640456 0.463346 0.239835 0.010650 23
0.636274 0.458083 0.243000 0.012314 23
0.821821 0.461669 0.220677 0.013034 24
0.823747 0.464738 0.224635 0.014080 24
1.003814 0.455248 0.099713 0.007917 25
1.004308 0.463022 0.100988 0.008792 25
1.178825 0.455387 0.103068 0.011349 26
1.184185 0.458497 0.106567 0.013164 26
1.358283 0.463644 0.099254 0.010801 27
1.361415 0.458997 0.099396 0.011450 27
1.364392 0.456153 0.099289 0.010547 27
1.540966 0.458457 0.245371 0.008747 28
1.544842 0.456156 0.246502 0.008261 28
1.718642 0.455700 0.060520 0.009572 29
1.718139 0.463480 0.061075 0.009506 29
0.101972 0.640544 0.108775 0.010131 30
0.098791 0.642481 0.108597 0.009923 30
0.099061 0.643337 0.109896 0.009143 30
0.279650 0.639422 0.204289 0.010956 31
0.284012 0.642960 0.203849 0.010005 31
0.280155 0.641329 0.205504 0.011802 31
0.463066 0.636474 0.195690 0.012669 32
0.461113 0.642685 0.199782 0.012420 32
0.639944 0.637440 0.166695 0.010437 33
0.642510 0.642700 0.161200 0.011531 33
0.636759 0.644580 0.165314 0.010554 33
0.816333 0.639646 0.100151 0.012709 34
0.818173 0.642553 0.099265 0.013423 34
0.823920 0.639267 0.103908 0.012394 34
0.997592 0.637472 0.083208 0.013373 35
1.000213 0.641267 0.079578 0.011442 35
0.997857 0.637717 0.080029 0.012740 35
1.182064 0.635642 0.076751 0.008739 36
1.179158 0.637068 0.076876 0.009436 36
1.359770 0.644427 0.164802 0.011299 37
1.363916 0.643357 0.167198 0.012186 37
1.362999 0.643978 0.166698 0.010997 37
1.542242 0.643405 0.151324 0.010681 38
1.540341 0.644069 0.148047 0.009999 38
1.535839 0.639286 0.150797 0.008967 38
1.718268 0.642612 0.100823 0.009781 39
1.723319 0.637523 0.097850 0.008273 39
1.720394 0.644999 0.100531 0.009571 39
0.104496 0.816994 0.201450 0.010433 40
0.096262 0.821695 0.206886 0.010597 40
0.281059 0.824637 0.192077 0.012774 41
0.276638 0.818110 0.190680 0.013178 41
0.458967 0.822150 0.160919 0.013468 42
0.461272 0.816019 0.167884 0.013926 42
0.461004 0.816211 0.169998 0.013732 42
0.635690 0.821475 0.114567 0.009723 43
0.639902 0.819335 0.118063 0.010760 43
0.639597 0.816530 0.116202 0.009947 43
0.819649 0.823257 0.181016 0.010643 44
0.817455 0.824346 0.177881 0.010959 44
0.822505 0.820698 0.181773 0.010677 44
0.997121 0.822978 0.147265 0.010029 45
1.002012 0.817763 0.143963 0.010168 45
0.995856 0.822201 0.148747 0.009778 45
1.179482 0.815172 0.186064 0.011030 46
1.177433 0.821640 0.186812 0.011403 46
1.178438 0.824966 0.188626 0.010898 46
1.356207 0.816926 0.136945 0.009205 47
1.362622 0.816851 0.137913 0.009100 47
1.544805 0.823326 0.192879 0.012940 48
1.538023 0.822080 0.191183 0.012004 48
1.535545 0.817921 0.199358 0.013762 48
1.720741 0.819694 0.199963 0.007296 49
1.715514 0.824411 0.200336 0.008408 49
0.096517 1.003111 0.134633 0.006960 50
0.097482 1.000581 0.129303 0.007830 50
0.279505 0.999427 0.177285 0.013403 51
0.278054 1.001210 0.174780 0.012732 51
0.284476 0.997078 0.170794 0.012518 51
0.456565 0.999085 0.083305 0.008240 52
0.455326 0.997881 0.079239 0.008958 52
0.642878 1.001251 0.065848 0.009506 53
0.639251 1.000446 0.065712 0.009457 53
0.643266 0.995714 0.060895 0.008300 53
0.819392 0.999687 0.197832 0.010552 54
0.817722 1.000400 0.199169 0.011021 54
0.823894 1.002345 0.200829 0.009650 54
1.004996 1.001723 0.093480 0.010278 55
1.002563 0.999705 0.097300 0.012507 55
1.184691 0.999700 0.085381 0.010455 56
1.176046 0.996608 0.085414 0.010877 56
1.181626 0.999005 0.088903 0.009767 56
1.364702 0.999042 0.067758 0.009744 57
1.361577 1.000426 0.066744 0.008180 57
1.542600 0.997036 0.122848 0.013103 58
1.539381 1.001983 0.118570 0.013224 58
1.541089 0.997393 0.118940 0.012101 58
1.719614 0.996175 0.163772 0.007784 59
1.722166 1.000089 0.158185 0.008366 59
0.098836 1.184219 0.246131 0.009472 60
0.103640 1.177762 0.248949 0.008570 60
0.277828 1.177986 0.237719 0.011552 61
0.279896 1.176486 0.237235 0.010041 61
0.464329 1.183696 0.165191 0.010007 62
0.458830 1.183560 0.159491 0.010194 62
0.459730 1.184134 0.159196 0.011777 62
0.639953 1.175370 0.208502 0.011534 63
0.643697 1.183742 0.207882 0.011373 63
0.823709 1.184700 0.137134 0.012487 64
0.817650 1.181233 0.140360 0.010655 64
0.818286 1.181744 0.141722 0.012937 64
1.003724 1.175359 0.171044 0.013164 65
1.004209 1.184974 0.177827 0.012603 65
0.995984 1.181337 0.179086 0.012631 65
